dog_name,breed,size_class,device_code,captured_at,heart_rate_bpm,respiratory_rate_bpm,motion_activity,posture,ambient_temperature_c,humidity_percent,battery_percent,is_valid,expected_score,expected_level,fired_rules,note
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:00:00.000Z,112,26,0.237,lying,26.8,63.1,96,true,0,calm,(none),
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:00:10.000Z,125,32,0.367,lying,27.2,63,95,true,0,calm,(none),
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:00:20.000Z,138,33,0.419,standing,26.3,58.1,94,true,1,calm,hr_ratio 1.15-1.35,
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:00:30.000Z,146,38,0.582,standing,26.8,62.9,93,true,2,mild,hr_ratio 1.15-1.35 | rr_ratio 1.3-1.8,
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:00:40.000Z,163,43,0.609,moving,27.4,56.6,92,true,6,moderate,hr_ratio 1.35-1.6 | rr_ratio 1.3-1.8 | motion 0.6-0.8 | posture moving + high motion | rising trend over last 3 readings,
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:00:50.000Z,172,44,0.745,moving,25.4,62,91,true,6,moderate,hr_ratio 1.35-1.6 | rr_ratio 1.3-1.8 | motion 0.6-0.8 | posture moving + high motion | rising trend over last 3 readings,
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:01:00.000Z,186,48,0.856,moving,26.6,61.3,90,true,8,high,hr_ratio>1.6 | rr panting | motion>0.8 | posture moving + high motion,
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:01:10.000Z,175,44,0.728,moving,26,64,89,true,5,moderate,hr_ratio 1.35-1.6 | rr_ratio 1.3-1.8 | motion 0.6-0.8 | posture moving + high motion,
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:01:20.000Z,160,43,0.691,moving,27.3,57.8,88,true,5,moderate,hr_ratio 1.35-1.6 | rr_ratio 1.3-1.8 | motion 0.6-0.8 | posture moving + high motion,
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:01:30.000Z,151,37,0.558,standing,26.8,57.3,87,true,3,mild,hr_ratio 1.35-1.6 | rr_ratio 1.3-1.8,
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:01:40.000Z,133,33,0.426,standing,26.6,58.2,86,true,1,calm,hr_ratio 1.15-1.35,
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:01:50.000Z,123,32,0.369,lying,26.6,63.1,85,true,0,calm,(none),
Mochi,Shiba Inu,small,FURFEEL-DEV-SMALL,2026-07-20T08:02:00.000Z,111,25,0.232,lying,25.1,61.2,84,true,0,calm,(none),
